"","Kommune","locality","site","utm_sone","date","month","year","utm_N","utm_E","stage","obs"
"246","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013671,563167,"juvenile",0
"247","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013675,563125,"adult",1
"248","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013675,563125,"juvenile",0
"249","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013677,563105,"adult",1
"250","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013677,563105,"juvenile",0
"251","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013678,563102,"adult",1
"252","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013678,563102,"juvenile",0
"253","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013669,563095,"adult",3
"254","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013669,563095,"juvenile",0
"255","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013662,563077,"adult",2
"256","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013662,563077,"juvenile",0
"257","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013662,563076,"adult",3
"258","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013662,563076,"juvenile",0
"259","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013658,563065,"adult",2
"260","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013658,563065,"juvenile",0
"261","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013656,563058,"adult",1
"262","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013656,563058,"juvenile",0
"263","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013658,563055,"adult",2
"264","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013658,563055,"juvenile",0
"265","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013659,563054,"adult",1
"266","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013659,563054,"juvenile",0
"267","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013657,563053,"adult",1
"268","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013657,563053,"juvenile",0
"269","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013658,563056,"adult",1
"270","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013658,563056,"juvenile",0
"271","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013653,563052,"adult",2
"272","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013653,563052,"juvenile",0
"273","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013651,563051,"adult",1
"274","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013651,563051,"juvenile",0
"275","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013650,563050,"adult",1
